account_id,customer_id,branch_id,account_type,open_date,status
ACC000001,CUST00353,BR001,savings,2025-10-24,active
ACC000002,CUST01208,BR005,credit,2025-10-14,closed
ACC000003,CUST00809,BR013,credit,2025-12-19,dormant
ACC000004,CUST01309,BR004,credit,2023-05-14,active
ACC000005,CUST01209,BR008,credit,2023-09-04,active
ACC000006,CUST00783,BR010,credit,2024-08-22,active
ACC000007,CUST01860,BR007,chequing,2023-11-01,active
ACC000008,CUST00588,BR001,savings,2025-09-09,active
ACC000009,CUST00509,BR004,chequing,2024-10-22,active
ACC000010,CUST00432,BR012,credit,2025-11-21,active
ACC000011,CUST01219,BR005,credit,2023-08-22,dormant
ACC000012,CUST00914,BR013,chequing,2023-05-18,active
ACC000013,CUST01866,BR005,chequing,2025-06-01,active
ACC000014,CUST01958,BR011,chequing,2023-02-23,active
ACC000015,CUST00105,BR009,savings,2023-12-18,active
ACC000016,CUST00842,BR001,chequing,2023-02-26,active
ACC000017,CUST01353,BR011,savings,2023-07-14,active
ACC000018,CUST01848,BR015,credit,2023-06-21,active
ACC000019,CUST01402,BR012,credit,2025-11-16,active
ACC000020,CUST01813,BR013,credit,2025-07-07,closed
ACC000021,CUST01838,BR002,chequing,2025-06-29,dormant
ACC000022,CUST01497,BR014,credit,2025-10-28,active
ACC000023,CUST01976,BR005,credit,2025-11-06,active
ACC000024,CUST01681,BR014,chequing,2025-03-28,closed
ACC000025,CUST00623,BR009,chequing,2023-11-26,active
ACC000026,CUST00925,BR015,savings,2025-12-04,active
ACC000027,CUST01899,BR004,credit,2025-06-20,dormant
ACC000028,CUST00766,BR008,chequing,2023-12-20,active
ACC000029,CUST00053,BR005,credit,2023-04-06,active
ACC000030,CUST00656,BR008,credit,2023-07-11,active
ACC000031,CUST00369,BR014,chequing,2025-02-17,active
ACC000032,CUST00614,BR010,savings,2023-07-07,active
ACC000033,CUST01369,BR002,chequing,2025-11-12,closed
ACC000034,CUST01382,BR014,credit,2024-07-07,active
ACC000035,CUST01229,BR011,savings,2025-10-30,active
ACC000036,CUST01488,BR013,savings,2025-09-04,active
ACC000037,CUST00103,BR005,chequing,2024-12-27,active
ACC000038,CUST00242,BR005,chequing,2025-05-17,active
ACC000039,CUST00875,BR001,savings,2024-05-23,active
ACC000040,CUST00582,BR011,credit,2024-04-04,active
ACC000041,CUST00773,BR006,chequing,2025-07-31,active
ACC000042,CUST01760,BR013,credit,2025-03-26,active
ACC000043,CUST01311,BR001,credit,2025-05-13,active
ACC000044,CUST00580,BR014,credit,2025-02-09,active
ACC000045,CUST00510,BR012,savings,2025-05-29,active
ACC000046,CUST00928,BR009,savings,2023-11-07,active
ACC000047,CUST00024,BR003,credit,2024-11-23,active
ACC000048,CUST00292,BR003,savings,2024-05-12,active
ACC000049,CUST00833,BR005,credit,2023-09-14,active
ACC000050,CUST01982,BR010,chequing,2024-06-28,active
ACC000051,CUST01091,BR012,credit,2024-04-11,active
ACC000052,CUST01803,BR007,chequing,2024-06-13,active
ACC000053,CUST00310,BR013,credit,2025-06-30,active
ACC000054,CUST00140,BR007,chequing,2023-05-10,active
ACC000055,CUST00152,BR004,chequing,2024-05-23,active
ACC000056,CUST01548,BR010,credit,2023-12-01,dormant
ACC000057,CUST01789,BR004,credit,2025-04-14,active
ACC000058,CUST00437,BR008,credit,2025-04-14,closed
ACC000059,CUST00700,BR003,chequing,2023-03-31,closed
ACC000060,CUST00658,BR009,credit,2023-07-13,active
ACC000061,CUST01597,BR014,credit,2023-02-14,closed
ACC000062,CUST00738,BR015,savings,2024-09-10,active
ACC000063,CUST00537,BR002,credit,2023-07-19,active
ACC000064,CUST01332,BR001,chequing,2024-08-15,active
