branch_id,branch_name,city,province
BR001,Winnipeg Branch 1,Winnipeg,MB
BR002,Mississauga Branch 2,Mississauga,ON
BR003,Toronto Branch 3,Toronto,ON
BR004,Halifax Branch 4,Halifax,NS
BR005,Vancouver Branch 5,Vancouver,BC
BR006,Hamilton Branch 6,Hamilton,ON
BR007,Hamilton Branch 7,Hamilton,ON
BR008,Ottawa Branch 8,Ottawa,ON
BR009,Halifax Branch 9,Halifax,NS
BR010,Mississauga Branch 10,Mississauga,ON
BR011,Winnipeg Branch 11,Winnipeg,MB
BR012,Halifax Branch 12,Halifax,NS
BR013,Montreal Branch 13,Montreal,QC
BR014,Mississauga Branch 14,Mississauga,ON
BR015,Quebec City Branch 15,Quebec City,QC
