application_id,customer_id,branch_id,product_id,app_date,loan_amount,approved,defaulted,interest_rate
LOAN000001,CUST00674,BR010,PRD005,2025-07-19,334216.73,True,False,11.43
LOAN000002,CUST00804,BR005,PRD005,2025-01-13,209504.58,True,False,6.1
LOAN000003,CUST01720,BR012,PRD008,2024-08-03,144843.27,False,False,9.77
LOAN000004,CUST01384,BR002,PRD007,2025-05-06,256266.0,False,False,7.88
LOAN000005,CUST01229,BR007,PRD005,2024-05-01,92842.79,False,False,11.38
LOAN000006,CUST01172,BR005,PRD008,2024-06-30,351897.16,True,False,4.77
LOAN000007,CUST00305,BR009,PRD006,2024-06-28,166590.03,True,False,8.38
LOAN000008,CUST01676,BR012,PRD006,2023-10-26,205543.7,True,False,7.08
LOAN000009,CUST01185,BR002,PRD005,2025-07-16,324036.69,True,False,3.99
LOAN000010,CUST01989,BR012,PRD005,2023-10-08,213191.83,False,False,5.86
LOAN000011,CUST01166,BR007,PRD005,2023-07-16,39909.04,True,False,7.68
LOAN000012,CUST00758,BR001,PRD007,2023-04-04,78773.17,False,False,5.82
LOAN000013,CUST01811,BR010,PRD007,2025-11-19,229139.91,True,False,12.26
LOAN000014,CUST01597,BR003,PRD007,2025-12-12,308546.24,True,False,6.02
LOAN000015,CUST00153,BR002,PRD005,2023-11-21,173317.91,True,False,7.16
LOAN000016,CUST01239,BR006,PRD008,2025-12-30,70829.66,True,False,4.95
LOAN000017,CUST00595,BR010,PRD007,2023-05-04,68480.84,True,False,8.19
LOAN000018,CUST01306,BR002,PRD008,2024-12-04,304035.37,False,False,8.82
LOAN000019,CUST00222,BR007,PRD005,2024-10-29,440039.7,False,False,4.63
LOAN000020,CUST00611,BR009,PRD007,2023-02-24,443940.53,False,False,7.7
LOAN000021,CUST00935,BR003,PRD007,2025-10-10,99947.49,True,False,11.99
LOAN000022,CUST00114,BR007,PRD007,2024-02-03,211938.76,True,False,6.63
LOAN000023,CUST01731,BR013,PRD006,2024-03-13,97786.93,False,False,5.91
LOAN000024,CUST00995,BR012,PRD008,2025-11-15,440690.34,True,False,6.24
LOAN000025,CUST01670,BR008,PRD008,2025-07-08,440057.05,True,False,6.47
LOAN000026,CUST01588,BR010,PRD006,2024-04-20,105675.47,False,False,5.15
LOAN000027,CUST01115,BR002,PRD007,2024-02-18,186510.82,False,False,5.63
LOAN000028,CUST01929,BR007,PRD008,2025-02-01,314228.21,False,False,5.66
LOAN000029,CUST01178,BR010,PRD007,2024-01-17,376257.79,True,False,11.01
LOAN000030,CUST01885,BR010,PRD006,2024-05-05,129915.82,False,False,10.28
