transaction_id,account_id,branch_id,product_id,txn_date,amount,transaction_type,channel,is_fraud_flag
TXN00000001,ACC002921,BR003,PRD007,2024-11-27,84.47,transfer,branch,False
TXN00000002,ACC000357,BR013,PRD006,2023-11-22,541.82,transfer,mobile,False
TXN00000003,ACC001897,BR007,PRD003,2023-03-24,237.01,deposit,mobile,False
TXN00000004,ACC002407,BR001,PRD004,2024-06-05,164.33,deposit,mobile,False
TXN00000005,ACC002227,BR014,PRD005,2023-09-26,30.53,withdrawal,online,False
TXN00000006,ACC001346,BR011,PRD005,2025-01-16,30.53,deposit,online,False
TXN00000007,ACC001445,BR006,PRD008,2025-06-30,-10.77,deposit,branch,False
TXN00000008,ACC001840,BR001,PRD004,2024-09-17,362.02,payment,mobile,False
TXN00000009,ACC001812,BR013,PRD006,2023-08-02,165.43,payment,branch,False
TXN00000010,ACC001461,BR015,PRD008,2023-03-21,221.63,transfer,atm,False
TXN00000011,ACC003181,BR012,PRD007,2025-12-04,-3.74,deposit,branch,False
TXN00000012,ACC000802,BR011,PRD007,2023-05-25,630.64,withdrawal,branch,False
TXN00000013,ACC002031,BR012,PRD002,2023-08-28,321.56,payment,atm,False
TXN00000014,ACC002595,BR012,PRD006,2025-03-17,42.96,withdrawal,atm,False
TXN00000015,ACC001990,BR015,PRD006,2023-10-26,36.12,payment,branch,False
TXN00000016,ACC003142,BR010,PRD004,2025-08-15,-36.47,withdrawal,branch,False
TXN00000017,ACC002329,BR008,PRD001,2024-04-30,-65.3,transfer,online,False
TXN00000018,ACC001281,BR014,PRD005,2024-09-26,133.91,deposit,branch,False
TXN00000019,ACC002382,BR012,PRD003,2025-05-22,101.8,payment,online,False
TXN00000020,ACC000952,BR014,PRD008,2024-12-27,61.96,payment,branch,False
TXN00000021,ACC003005,BR010,PRD006,2025-11-21,170.35,transfer,branch,False
TXN00000022,ACC002483,BR006,PRD007,2025-11-02,27.04,payment,atm,False
TXN00000023,ACC002036,BR007,PRD002,2025-09-03,62.19,withdrawal,online,False
TXN00000024,ACC002003,BR001,PRD004,2025-06-25,82.13,payment,mobile,False
TXN00000025,ACC000385,BR006,PRD004,2023-02-22,109.61,payment,atm,False
TXN00000026,ACC000642,BR012,PRD004,2025-10-23,276.83,transfer,branch,False
TXN00000027,ACC000775,BR003,PRD006,2024-11-13,40.09,withdrawal,atm,False
TXN00000028,ACC000567,BR006,PRD007,2024-02-05,129.97,payment,atm,False
TXN00000029,ACC002749,BR005,PRD002,2025-07-11,161.55,transfer,branch,False
TXN00000030,ACC000525,BR008,PRD008,2023-06-03,8.56,payment,online,False
TXN00000031,ACC002397,BR006,PRD006,2025-01-23,168.36,payment,branch,False
TXN00000032,ACC000610,BR002,PRD007,2025-08-21,33.65,deposit,atm,False
TXN00000033,ACC001267,BR010,PRD006,2024-07-15,-12.11,payment,branch,False
TXN00000034,ACC000442,BR015,PRD004,2023-07-10,535.26,payment,branch,False
TXN00000035,ACC001331,BR002,PRD007,2023-11-12,606.71,withdrawal,atm,False
TXN00000036,ACC002590,BR005,PRD007,2024-08-03,-297.42,transfer,atm,False
TXN00000037,ACC001052,BR013,PRD006,2024-11-27,65.39,deposit,atm,False
TXN00000038,ACC000870,BR001,PRD007,2025-10-20,-18.5,payment,online,False
TXN00000039,ACC000887,BR008,PRD003,2025-04-19,207.5,deposit,online,False
TXN00000040,ACC001684,BR012,PRD003,2024-05-15,-104.42,payment,atm,False
TXN00000041,ACC001738,BR003,PRD001,2024-01-12,23.43,deposit,mobile,False
TXN00000042,ACC001382,BR002,PRD007,2025-07-26,123.04,payment,mobile,False
TXN00000043,ACC002955,BR011,PRD006,2023-08-09,6.3,deposit,branch,False
TXN00000044,ACC000856,BR008,PRD001,2025-06-12,-432.08,withdrawal,branch,False
TXN00000045,ACC002983,BR011,PRD004,2024-05-01,53.9,deposit,atm,False
TXN00000046,ACC001548,BR002,PRD003,2023-01-06,195.53,withdrawal,branch,False
