account_sk,account_id,customer_id,branch_id,account_type,open_date,status
1,ACC000001,CUST00353,BR001,savings,2025-10-24,active
2,ACC000002,CUST01208,BR005,credit,2025-10-14,closed
3,ACC000003,CUST00809,BR013,credit,2025-12-19,dormant
4,ACC000004,CUST01309,BR004,credit,2023-05-14,active
5,ACC000005,CUST01209,BR008,credit,2023-09-04,active
6,ACC000006,CUST00783,BR010,credit,2024-08-22,active
7,ACC000007,CUST01860,BR007,chequing,2023-11-01,active
8,ACC000008,CUST00588,BR001,savings,2025-09-09,active
9,ACC000009,CUST00509,BR004,chequing,2024-10-22,active
10,ACC000010,CUST00432,BR012,credit,2025-11-21,active
11,ACC000011,CUST01219,BR005,credit,2023-08-22,dormant
12,ACC000012,CUST00914,BR013,chequing,2023-05-18,active
13,ACC000013,CUST01866,BR005,chequing,2025-06-01,active
14,ACC000014,CUST01958,BR011,chequing,2023-02-23,active
15,ACC000015,CUST00105,BR009,savings,2023-12-18,active
16,ACC000016,CUST00842,BR001,chequing,2023-02-26,active
17,ACC000017,CUST01353,BR011,savings,2023-07-14,active
18,ACC000018,CUST01848,BR015,credit,2023-06-21,active
19,ACC000019,CUST01402,BR012,credit,2025-11-16,active
20,ACC000020,CUST01813,BR013,credit,2025-07-07,closed
21,ACC000021,CUST01838,BR002,chequing,2025-06-29,dormant
22,ACC000022,CUST01497,BR014,credit,2025-10-28,active
23,ACC000023,CUST01976,BR005,credit,2025-11-06,active
24,ACC000024,CUST01681,BR014,chequing,2025-03-28,closed
25,ACC000025,CUST00623,BR009,chequing,2023-11-26,active
26,ACC000026,CUST00925,BR015,savings,2025-12-04,active
27,ACC000027,CUST01899,BR004,credit,2025-06-20,dormant
28,ACC000028,CUST00766,BR008,chequing,2023-12-20,active
29,ACC000029,CUST00053,BR005,credit,2023-04-06,active
30,ACC000030,CUST00656,BR008,credit,2023-07-11,active
31,ACC000031,CUST00369,BR014,chequing,2025-02-17,active
32,ACC000032,CUST00614,BR010,savings,2023-07-07,active
33,ACC000033,CUST01369,BR002,chequing,2025-11-12,closed
34,ACC000034,CUST01382,BR014,credit,2024-07-07,active
35,ACC000035,CUST01229,BR011,savings,2025-10-30,active
36,ACC000036,CUST01488,BR013,savings,2025-09-04,active
37,ACC000037,CUST00103,BR005,chequing,2024-12-27,active
38,ACC000038,CUST00242,BR005,chequing,2025-05-17,active
39,ACC000039,CUST00875,BR001,savings,2024-05-23,active
40,ACC000040,CUST00582,BR011,credit,2024-04-04,active
41,ACC000041,CUST00773,BR006,chequing,2025-07-31,active
42,ACC000042,CUST01760,BR013,credit,2025-03-26,active
43,ACC000043,CUST01311,BR001,credit,2025-05-13,active
44,ACC000044,CUST00580,BR014,credit,2025-02-09,active
45,ACC000045,CUST00510,BR012,savings,2025-05-29,active
46,ACC000046,CUST00928,BR009,savings,2023-11-07,active
47,ACC000047,CUST00024,BR003,credit,2024-11-23,active
48,ACC000048,CUST00292,BR003,savings,2024-05-12,active
49,ACC000049,CUST00833,BR005,credit,2023-09-14,active
50,ACC000050,CUST01982,BR010,chequing,2024-06-28,active
51,ACC000051,CUST01091,BR012,credit,2024-04-11,active
52,ACC000052,CUST01803,BR007,chequing,2024-06-13,active
53,ACC000053,CUST00310,BR013,credit,2025-06-30,active
54,ACC000054,CUST00140,BR007,chequing,2023-05-10,active
55,ACC000055,CUST00152,BR004,chequing,2024-05-23,active
56,ACC000056,CUST01548,BR010,credit,2023-12-01,dormant
57,ACC000057,CUST01789,BR004,credit,2025-04-14,active
58,ACC000058,CUST00437,BR008,credit,2025-04-14,closed
59,ACC000059,CUST00700,BR003,chequing,2023-03-31,closed
60,ACC000060,CUST00658,BR009,credit,2023-07-13,active
61,ACC000061,CUST01597,BR014,credit,2023-02-14,closed
62,ACC000062,CUST00738,BR015,savings,2024-09-10,active
63,ACC000063,CUST00537,BR002,credit,2023-07-19,active
64,ACC000064,CUST01332,BR001,chequing,2024-08-15,active
65,ACC000065,CUST01614,BR010,savings,2025-04-03,active
66,ACC000066,CUST00963,BR013,credit,2025-09-18,closed
67,ACC000067,CUST01908,BR012,chequing,2025-11-22,active
68,ACC000068,CUST00530,BR010,credit,2023-03-27,active
69,ACC000069,CUST01959,BR015,credit,2023-01-06,closed
70,ACC000070,CUST00946,BR014,credit,2023-10-25,active
71,ACC000071,CUST00164,BR008,savings,2025-04-27,active
72,ACC000072,CUST00215,BR013,chequing,2024-10-30,active
73,ACC000073,CUST01883,BR007,credit,2025-02-10,closed
74,ACC000074,CUST01119,BR007,credit,2024-05-24,active
75,ACC000075,CUST01192,BR007,credit,2025-06-20,active
76,ACC000076,CUST01038,BR007,credit,2024-10-01,active
77,ACC000077,CUST01776,BR002,savings,2024-11-27,active
78,ACC000078,CUST00643,BR013,credit,2023-04-11,active
