transaction_id,account_sk,customer_sk,branch_sk,product_sk,date_id,amount,transaction_type,channel,is_fraud_flag
TXN00000001,2921,1881,3,7,20241127,84.47,transfer,branch,False
TXN00000002,357,1712,13,6,20231122,541.82,transfer,mobile,False
TXN00000003,1897,1049,7,3,20230324,237.01,deposit,mobile,False
TXN00000004,2407,847,1,4,20240605,164.33,deposit,mobile,False
TXN00000005,2227,72,14,5,20230926,30.53,withdrawal,online,False
TXN00000006,1346,988,11,5,20250116,30.53,deposit,online,False
TXN00000007,1445,1050,6,8,20250630,-10.77,deposit,branch,False
TXN00000008,1840,761,1,4,20240917,362.02,payment,mobile,False
TXN00000009,1812,137,13,6,20230802,165.43,payment,branch,False
TXN00000010,1461,1962,15,8,20230321,221.63,transfer,atm,False
TXN00000011,3181,1043,12,7,20251204,-3.74,deposit,branch,False
TXN00000012,802,1945,11,7,20230525,630.64,withdrawal,branch,False
TXN00000013,2031,1385,12,2,20230828,321.56,payment,atm,False
TXN00000014,2595,475,12,6,20250317,42.96,withdrawal,atm,False
TXN00000015,1990,1053,15,6,20231026,36.12,payment,branch,False
TXN00000016,3142,1208,10,4,20250815,-36.47,withdrawal,branch,False
TXN00000017,2329,382,8,1,20240430,-65.3,transfer,online,False
TXN00000018,1281,199,14,5,20240926,133.91,deposit,branch,False
TXN00000019,2382,1068,12,3,20250522,101.8,payment,online,False
TXN00000020,952,2212,14,8,20241227,61.96,payment,branch,False
TXN00000021,3005,1383,10,6,20251121,170.35,transfer,branch,False
TXN00000022,2483,178,6,7,20251102,27.04,payment,atm,False
TXN00000023,2036,450,7,2,20250903,62.19,withdrawal,online,False
TXN00000024,2003,2156,1,4,20250625,82.13,payment,mobile,False
TXN00000025,385,816,6,4,20230222,109.61,payment,atm,False
TXN00000026,642,1988,12,4,20251023,276.83,transfer,branch,False
TXN00000027,775,284,3,6,20241113,40.09,withdrawal,atm,False
TXN00000028,567,1632,6,7,20240205,129.97,payment,atm,False
TXN00000029,2749,156,5,2,20250711,161.55,transfer,branch,False
TXN00000030,525,283,8,8,20230603,8.56,payment,online,False
TXN00000031,2397,682,6,6,20250123,168.36,payment,branch,False
TXN00000032,610,1352,2,7,20250821,33.65,deposit,atm,False
TXN00000033,1267,1483,10,6,20240715,-12.11,payment,branch,False
TXN00000034,442,281,15,4,20230710,535.26,payment,branch,False
TXN00000035,1331,569,2,7,20231112,606.71,withdrawal,atm,False
TXN00000036,2590,943,5,7,20240803,-297.42,transfer,atm,False
TXN00000037,1052,564,13,6,20241127,65.39,deposit,atm,False
TXN00000038,870,445,1,7,20251020,-18.5,payment,online,False
TXN00000039,887,322,8,3,20250419,207.5,deposit,online,False
TXN00000040,1684,460,12,3,20240515,-104.42,payment,atm,False
TXN00000041,1738,2176,3,1,20240112,23.43,deposit,mobile,False
TXN00000042,1382,1392,2,7,20250726,123.04,payment,mobile,False
TXN00000043,2955,1930,11,6,20230809,6.3,deposit,branch,False
TXN00000044,856,1100,8,1,20250612,-432.08,withdrawal,branch,False
TXN00000045,2983,1205,11,4,20240501,53.9,deposit,atm,False
TXN00000046,1548,1712,2,3,20230106,195.53,withdrawal,branch,False
TXN00000047,654,1144,1,7,20230424,67.24,withdrawal,atm,False
TXN00000048,1821,2017,8,3,20230421,132.14,transfer,online,False
TXN00000049,2218,1915,13,8,20231208,142.42,deposit,mobile,False
TXN00000050,651,904,2,1,20231209,-36.79,deposit,online,False
TXN00000051,2883,1405,3,6,20240708,-628.71,payment,branch,False
TXN00000052,1708,1724,11,1,20250523,268.6,payment,atm,False
TXN00000053,1053,2076,3,6,20250110,-504.92,withdrawal,mobile,False
TXN00000054,2847,1065,9,8,20240618,405.39,payment,branch,False
TXN00000055,2864,1889,6,7,20250907,-163.99,payment,branch,False
TXN00000056,354,1824,15,8,20231110,458.9,withdrawal,mobile,False
TXN00000057,2453,1777,15,3,20250401,16.68,payment,online,False
TXN00000059,2938,1665,13,1,20240217,8.33,payment,mobile,False
TXN00000060,1934,1330,11,6,20230512,70.84,payment,atm,False
TXN00000061,714,576,3,5,20250109,88.58,transfer,online,False
TXN00000062,1634,1774,10,2,20230625,56.98,deposit,mobile,True
TXN00000063,2878,696,12,1,20251119,-317.62,payment,branch,False
TXN00000064,162,1272,12,2,20230423,-79.42,transfer,branch,False
TXN00000065,922,1127,12,6,20250625,-59.36,payment,atm,False
TXN00000066,1203,956,6,1,20230518,140.83,deposit,branch,False
TXN00000067,1921,891,8,2,20250111,27.34,withdrawal,branch,False
TXN00000068,609,2168,10,5,20250827,291.69,withdrawal,atm,False
TXN00000069,49,927,10,3,20250821,13.95,payment,online,False
TXN00000070,2763,1991,11,6,20240416,-780.15,transfer,mobile,False
TXN00000071,1043,1840,6,3,20231106,-266.31,transfer,atm,False
TXN00000072,342,1767,6,2,20240308,-39.88,transfer,branch,False
TXN00000073,2786,999,15,2,20240120,1.0,payment,atm,False
TXN00000074,1736,408,12,7,20250705,-304.18,deposit,mobile,False
TXN00000075,20,2011,6,6,20251013,220.88,payment,online,False
TXN00000076,191,987,10,5,20250311,235.02,transfer,online,False
TXN00000077,143,391,14,4,20241122,-265.54,withdrawal,online,False
TXN00000078,2761,1095,5,5,20241108,13.85,payment,atm,False
TXN00000079,1532,1338,3,6,20250622,79.9,deposit,branch,False
TXN00000080,233,1312,13,6,20230526,22.17,payment,mobile,False
TXN00000081,2498,963,10,6,20240331,357.94,deposit,atm,False
TXN00000082,2363,2148,1,4,20250718,175.73,transfer,branch,False
TXN00000083,164,399,11,3,20250507,72.33,withdrawal,online,False
TXN00000084,2029,2183,1,3,20241116,11.82,transfer,atm,False
TXN00000085,2118,792,15,8,20230728,67.05,deposit,online,False
TXN00000086,2798,26,8,5,20240916,-70.8,deposit,online,False
TXN00000087,1016,8,8,2,20240531,-235.42,withdrawal,branch,False
TXN00000088,322,1256,6,8,20230408,182.68,transfer,atm,False
TXN00000089,742,1205,10,7,20251028,-392.81,payment,mobile,False
TXN00000090,1142,366,15,5,20250714,115.03,deposit,atm,False
TXN00000091,474,990,12,3,20240312,-22.93,deposit,online,False
TXN00000092,1782,333,6,8,20230512,224.84,transfer,mobile,False
TXN00000093,2114,599,3,2,20240724,257.47,transfer,mobile,False
TXN00000094,1729,33,7,6,20230901,148.3,transfer,mobile,False
TXN00000095,1647,1618,12,3,20240506,265.3,payment,branch,False
TXN00000096,1374,716,14,1,20241009,122.55,deposit,mobile,False
TXN00000097,2895,2145,4,5,20240523,133.14,withdrawal,mobile,False
TXN00000098,722,65,2,8,20250427,100.41,transfer,online,False
TXN00000099,1443,325,13,2,20230804,4.63,deposit,atm,False
TXN00000100,59,775,9,3,20250926,20.55,payment,mobile,False
TXN00000101,2855,201,10,6,20251111,5.75,payment,mobile,False
TXN00000102,1774,348,2,5,20251206,182.11,withdrawal,atm,False
TXN00000103,312,802,7,7,20230326,67.93,transfer,mobile,False
TXN00000104,2928,100,3,5,20251024,127.88,transfer,mobile,False
TXN00000105,1345,1028,2,4,20240327,428.63,payment,branch,False
TXN00000106,3091,1467,12,4,20231123,51.61,withdrawal,mobile,False
TXN00000107,2143,1252,3,5,20250625,-95.09,payment,atm,False
TXN00000108,2219,850,3,6,20250823,253.57,payment,mobile,False
TXN00000109,2959,555,9,1,20250916,-46.76,withdrawal,online,False
TXN00000110,328,1094,7,1,20240108,14.42,withdrawal,online,False
TXN00000111,1422,712,8,6,20240512,61.59,payment,atm,False
TXN00000112,2664,162,8,8,20230316,31.65,transfer,online,False
TXN00000113,2174,1647,4,8,20230505,477.89,payment,atm,False
TXN00000114,2742,1812,9,3,20241206,-297.16,deposit,online,False
TXN00000115,1043,1840,6,3,20241201,180.63,transfer,mobile,False
TXN00000116,2976,1645,10,4,20250710,-369.27,deposit,online,False
TXN00000117,1703,692,6,2,20250512,293.03,payment,mobile,False
TXN00000118,1602,872,7,6,20230121,37.17,transfer,online,False
TXN00000119,1767,2080,4,4,20240119,401.55,deposit,atm,False
TXN00000120,2467,1062,15,8,20250615,139.52,deposit,mobile,False
TXN00000121,980,1292,6,5,20240725,296.52,payment,online,False
TXN00000122,1690,2024,4,6,20230502,407.56,withdrawal,branch,False
TXN00000123,1004,1836,12,1,20230829,68.89,payment,branch,False
TXN00000124,1540,143,4,4,20241229,-20.99,deposit,online,False
TXN00000125,2246,885,1,2,20230204,46.56,transfer,atm,False
TXN00000126,1148,1399,6,4,20250406,-100.27,deposit,atm,False
TXN00000127,1843,732,2,8,20241014,-306.69,transfer,mobile,False
TXN00000128,1508,62,6,5,20251010,354.84,transfer,online,False
TXN00000129,105,304,15,6,20240506,-1.26,withdrawal,branch,False
TXN00000130,1231,1175,15,5,20230602,128.68,transfer,atm,False
TXN00000131,537,464,3,6,20230507,-97.25,withdrawal,branch,False
TXN00000132,1284,862,10,2,20240114,45.21,transfer,online,False
TXN00000133,2911,1030,1,3,20240223,22.98,withdrawal,mobile,False
TXN00000134,3134,1185,8,5,20240219,74.14,withdrawal,online,False
TXN00000135,773,998,11,6,20240510,515.36,deposit,atm,False
TXN00000136,1166,110,1,5,20231221,70.27,payment,atm,False
TXN00000137,91,935,3,2,20230701,131.66,transfer,atm,False
TXN00000138,2342,1896,12,1,20230225,218.54,payment,online,False
TXN00000139,2685,178,6,3,20240911,-81.36,deposit,branch,False
TXN00000140,2435,1824,4,2,20240911,642.2,transfer,online,False
TXN00000141,828,601,12,7,20231227,-590.76,payment,mobile,False
TXN00000142,2022,1160,2,3,20230827,52.21,deposit,atm,False
TXN00000143,2851,775,4,2,20230322,123.78,transfer,online,False
TXN00000144,667,1498,9,1,20251217,64.43,payment,mobile,False
TXN00000145,1477,441,14,2,20230809,60.34,withdrawal,branch,False
TXN00000146,788,2080,2,4,20250624,6.77,withdrawal,mobile,False
TXN00000147,2565,2168,5,1,20230522,-169.29,deposit,branch,False
TXN00000148,892,1491,10,2,20230824,-125.73,transfer,branch,False
TXN00000149,124,2146,13,4,20231122,9.51,withdrawal,online,False
TXN00000150,1080,1387,1,7,20251006,58.79,transfer,mobile,False
TXN00000151,1413,96,8,8,20241211,429.99,transfer,mobile,False
TXN00000152,309,1674,2,4,20250318,49.29,withdrawal,mobile,False
TXN00000153,2064,1542,11,2,20230423,28.18,payment,branch,False
TXN00000154,3112,1429,14,7,20240226,121.01,payment,mobile,False
TXN00000155,94,64,7,5,20250323,-763.93,withdrawal,atm,False
TXN00000156,1016,8,1,8,20230301,-49.89,deposit,online,False
TXN00000157,37,111,14,8,20230515,200.73,deposit,mobile,False
TXN00000158,748,1985,14,4,20230304,-258.1,transfer,mobile,False
TXN00000159,2851,775,10,4,20231217,48.84,payment,online,False
TXN00000160,22,1661,3,8,20231019,234.49,withdrawal,online,False
TXN00000161,1384,1762,6,6,20230819,82.53,deposit,mobile,False
TXN00000162,880,1803,13,3,20240426,-180.09,payment,atm,False
TXN00000163,2004,2085,3,4,20240507,180.69,deposit,online,False
TXN00000164,1685,1672,9,6,20240929,-138.13,payment,online,False
TXN00000165,3024,1902,2,5,20250315,17.03,payment,branch,False
TXN00000166,1640,1965,6,8,20241207,324.66,payment,mobile,False
TXN00000167,500,1412,1,5,20251116,69.63,deposit,online,False
TXN00000168,326,1740,9,3,20230819,37.16,withdrawal,mobile,False
TXN00000169,298,1439,2,7,20230728,7.49,payment,branch,False
TXN00000170,1537,1858,7,3,20230215,160.88,transfer,online,False
TXN00000171,1105,2023,15,6,20240612,203.73,payment,atm,False
TXN00000172,3085,853,8,4,20250714,3.01,transfer,branch,False
TXN00000173,2772,2067,5,6,20241123,129.17,payment,mobile,False
TXN00000174,946,2073,2,2,20250427,46.23,withdrawal,mobile,False
TXN00000175,904,1923,13,7,20250823,186.5,withdrawal,branch,False
TXN00000176,2977,1281,12,8,20240301,-34.49,withdrawal,online,False
TXN00000177,227,2013,14,6,20250712,211.36,withdrawal,online,False
TXN00000178,2934,893,7,2,20250108,88.01,deposit,branch,False
TXN00000179,2840,407,4,1,20240717,496.86,transfer,atm,False
TXN00000180,1941,1780,1,1,20250510,26.63,payment,online,False
TXN00000181,2361,1703,5,2,20240107,75.08,transfer,online,False
TXN00000182,1586,802,5,6,20231011,21.68,payment,online,False
TXN00000183,535,1586,9,3,20230116,465.51,deposit,mobile,False
TXN00000184,3042,49,11,2,20250704,377.7,transfer,online,False
TXN00000185,2713,359,10,6,20240113,53.7,transfer,branch,False
TXN00000186,2915,1646,14,4,20231129,-194.18,transfer,mobile,False
TXN00000187,2814,1553,1,1,20230705,-305.91,deposit,mobile,False
TXN00000188,424,1579,11,5,20241122,-145.82,payment,branch,False
TXN00000189,981,711,14,5,20240909,135.77,deposit,online,False
TXN00000190,2891,1357,6,4,20241219,49.84,withdrawal,atm,False
TXN00000191,2763,1991,12,8,20250105,-17.59,payment,branch,False
TXN00000192,198,1737,15,7,20241029,-409.52,transfer,mobile,False
TXN00000193,1935,331,6,2,20251126,415.22,deposit,mobile,False
TXN00000194,2766,2161,2,5,20230105,-180.48,deposit,branch,False
TXN00000195,489,156,5,7,20240605,-74.53,deposit,branch,False
TXN00000196,2068,1548,6,8,20240913,77.32,transfer,mobile,False
TXN00000197,2997,1756,12,6,20240114,233.0,payment,mobile,False
TXN00000198,2292,912,8,8,20230110,409.34,payment,branch,False
TXN00000199,1396,1868,15,6,20230714,392.6,deposit,branch,False
TXN00000200,670,1356,8,7,20230504,-272.44,payment,mobile,False
TXN00000201,608,649,15,6,20240221,184.92,transfer,mobile,False
TXN00000202,1260,495,2,3,20230103,15.82,withdrawal,mobile,False
TXN00000203,3101,898,8,1,20230406,31.73,payment,branch,False
TXN00000204,2098,659,15,7,20250609,411.88,withdrawal,branch,False
TXN00000205,3083,349,5,4,20251030,167.85,withdrawal,mobile,False
TXN00000206,1248,337,15,7,20231227,-1.66,transfer,branch,False
TXN00000207,1174,449,13,5,20241127,-19.26,transfer,mobile,False
TXN00000208,1929,686,2,5,20251110,196.05,deposit,mobile,False
TXN00000209,1112,636,1,6,20230324,0.91,transfer,online,False
TXN00000210,3092,1055,7,3,20240103,-31.56,withdrawal,branch,False
TXN00000211,3045,1079,6,5,20231218,143.23,payment,atm,False
