transaction_id,account_id,branch_id,product_id,txn_date,amount,transaction_type,channel,is_fraud_flag
TXN00000058,ACC925673,BR002,PRD008,2025-11-22,-39.26,deposit,online,False
TXN00000891,ACC983964,BR010,PRD002,2023-01-06,230.6,payment,online,False
TXN00001470,ACC919244,BR001,PRD006,2023-02-15,-274.51,transfer,atm,False
TXN00001484,ACC984312,BR008,PRD006,2023-07-01,1.04,transfer,atm,False
TXN00002064,ACC967252,BR012,PRD002,2025-03-22,-110.66,payment,mobile,False
TXN00002216,ACC903690,BR012,PRD007,2024-12-25,65.43,transfer,branch,False
TXN00002965,ACC960438,BR003,PRD008,2025-05-03,349.5,transfer,branch,False
TXN00003211,ACC917169,BR003,PRD004,2025-10-14,31.46,deposit,mobile,False
TXN00003523,ACC949619,BR014,PRD008,2023-12-21,56.29,payment,branch,False
TXN00003744,ACC917017,BR011,PRD001,2024-05-24,10.3,transfer,atm,False
TXN00004095,ACC941077,BR006,PRD005,2025-10-17,72.62,withdrawal,mobile,False
TXN00007478,ACC979276,BR006,PRD006,2024-05-29,2.31,payment,atm,False
TXN00009670,ACC999532,BR013,PRD007,2024-06-08,-274.73,withdrawal,branch,False
TXN00010161,ACC963793,BR005,PRD008,2023-09-22,145.15,transfer,mobile,False
TXN00011485,ACC981196,BR006,PRD004,2024-06-03,-32.57,payment,mobile,False
TXN00011884,ACC912622,BR011,PRD008,2023-08-25,0.03,deposit,atm,False
TXN00011976,ACC996856,BR007,PRD001,2025-08-18,354.68,deposit,online,False
TXN00013036,ACC946328,BR009,PRD004,2025-04-20,201.72,payment,mobile,False
TXN00013374,ACC975750,BR001,PRD004,2024-01-12,173.79,deposit,mobile,False
TXN00013792,ACC986399,BR013,PRD006,2024-04-23,52.46,deposit,mobile,False
TXN00014273,ACC915146,BR009,PRD006,2024-03-14,-33.94,withdrawal,branch,False
TXN00015174,ACC952294,BR012,PRD004,2025-12-12,65.53,payment,atm,False
TXN00015338,ACC941075,BR002,PRD007,2025-10-08,56.25,transfer,online,False
TXN00015597,ACC956342,BR013,PRD001,2025-06-08,24.97,withdrawal,mobile,False
TXN00015746,ACC910013,BR009,PRD003,2024-03-31,271.89,deposit,atm,False
TXN00016219,ACC996354,BR011,PRD004,2023-05-24,-709.57,withdrawal,mobile,False
TXN00016294,ACC928037,BR006,PRD003,2023-03-10,335.35,withdrawal,branch,False
TXN00016367,ACC965992,BR014,PRD008,2023-11-11,191.31,payment,mobile,False
TXN00016528,ACC953932,BR010,PRD005,2023-09-07,205.21,deposit,branch,False
TXN00016794,ACC915065,BR003,PRD002,2023-07-24,-220.27,transfer,mobile,False
TXN00016985,ACC957504,BR013,PRD001,2025-04-08,62.82,payment,online,False
TXN00017581,ACC943433,BR005,PRD008,2025-07-21,125.19,deposit,branch,False
TXN00017906,ACC983258,BR008,PRD007,2023-06-27,481.67,transfer,online,False
TXN00018781,ACC957226,BR011,PRD006,2025-09-08,115.27,withdrawal,atm,False
TXN00020258,ACC939410,BR015,PRD005,2024-01-06,532.89,withdrawal,branch,False
